,Date,Ticker,Position,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily Return,1-week MA Daily Return,Rolling Cumulative Volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L,Yield
0,2018-02-05,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.118656158447266,0.0,59.11904007567665,55.946659303121045,58.861044792687316,0.0,11548200.0,-0.7655568479626135,0.3477910099002471,16444870864900.0,-15311.13695925227,-254766.98131126605,46143.54364370182,-0.7655568479626135
1,2018-02-05,MMM,35000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,212.09938049316406,0.0,223.97635132716968,207.12313910513132,223.1515667355765,0.0,6590500.0,1.7035483215321763,0.2997176094491444,16446917057800.0,59624.19125362617,1034278.0515240271,46143.54364370182,1.7035483215321763
2,2018-02-05,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,76.02188110351562,0.0,79.02273890197982,75.72655307542729,78.18440501711305,0.0,2870300.0,0.08320406133308693,0.19760843352502191,16448154842600.0,1830.4893493279124,25958.062986533998,46143.54364370182,0.08320406133308693
0,2018-02-06,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.242881774902344,0.0,56.62509420689243,54.78091202350201,55.34467508730619,0.0,15214700.0,-0.7576886750807494,0.3200980674993246,16448483515300.0,-15153.773501614989,-269920.75481288106,53418.36273179307,-0.7576886750807494
1,2018-02-06,MMM,38000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,214.1063690185547,0.0,214.96781876983565,207.8562856630334,208.49778633409395,0.0,5108100.0,1.738422131147541,0.30136695617759895,16450799888100.0,66060.04098360655,1100338.0925076336,53418.36273179307,1.7384221311475407
2,2018-02-06,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,76.76495361328125,0.0,77.00311740041491,72.73521913697985,74.64052943404904,0.0,3050100.0,0.11418614771825035,0.193185676954393,16452223157100.0,2512.0952498015076,28470.158236335505,53418.36273179307,0.11418614771825035
0,2018-02-07,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,56.06133270263672,0.0,57.18886622508854,55.89889322410395,55.9944454297017,0.0,6872700.0,-0.7654533859068469,0.34145467145989916,16452469577100.0,-15309.067718136937,-285229.822531018,52875.142485986864,-0.7654533859068469
1,2018-02-07,MMM,38000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,213.70314025878906,0.0,217.67129918041869,213.3640643224472,213.7031402587891,0.0,2885600.0,1.7359260060917958,0.3056904969654804,16454042646200.0,65965.18823148824,1166303.2807391218,52875.142485986864,1.7359260060917958
2,2018-02-07,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,76.33624267578125,0.0,78.06055317135915,76.21240014209546,76.27908570149255,0.0,3561100.0,0.10086463511979847,0.1947121975366664,16455058216800.0,2219.0219726355663,30689.18020897107,52875.142485986864,0.10086463511979847
0,2018-02-08,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,53.76804733276367,0.0,56.21422245078893,53.720271229635834,56.15688893998571,0.0,6874500.0,-0.7657165693561496,0.32736951679108633,16455316159000.0,-15314.331387122993,-300544.153918141,118800.52256766704,-0.7657165693561496
